overview,vote_average,length,unique_words
captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,7.0,23,23
the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice,5.9,68,52
a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,6.5,60,45
one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir,6.3,75,58
when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,7.4,47,40
captain jack sparrow crosses paths with a woman from his past and hes not sure if its love  or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past,6.4,74,58
agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his  years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him  secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind,6.2,108,70
immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands,7.1,74,52
peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance  leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero,6.5,116,77
when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey,6.2,44,36
the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug,7.6,32,26
after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny,5.8,34,31
in  new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady,6.6,36,35
 years later a yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april th  on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fianc caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april th  at  in the morning,7.5,112,78
following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,7.1,47,40
when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiances father admiral shane expect of him,5.5,93,76
twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond,6.5,26,24
when bonds latest assignment goes gravely wrong and agents around the world are exposed mi is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi now compromised from both inside and out m is left with one ally she can trust bond  takes to the shadows  aided only by field agent eve  following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves,6.9,91,73
peter parker is going through a major identity crisis burned out from being spiderman he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still cant act on his feelings for mary jane watson a girl hes loved since childhood,6.7,58,51
when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution,6.8,22,22
alice an unpretentious and individual yearold is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason  to conquer the horrific jabberwocky and restore the rightful queen to her throne,6.4,102,71
when a cure is found to treat mutations lines are drawn amongst the xmen and the brotherhood a band of powerful mutants organized under xaviers former ally magneto,6.3,28,26
a look at the relationship between mike and sulley during their days at monsters university  when they werent necessarily the best of friends,7.0,23,21
sam witwicky leaves the autobots behind for a normal life but when his mind is filled with cryptic symbols the decepticons target him and he is dragged back into the transformers war,6.0,32,29
as humanity picks up the pieces following the conclusion of transformers dark of the moon autobots and decepticons have all but vanished from the face of the planet however a group of powerful ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control  all while an ancient powerful transformer menace sets earth in his crosshairs,5.8,67,52
oscar diggs a smalltime circus illusionist and conartist is whisked from kansas to the land of oz where the inhabitants assume hes the great wizard of prophecy there to save oz from the clutches of evil,5.7,36,28
for peter parker life is busy between taking out the bad guys as spiderman and spending time with the person he loves gwen stacy high school graduation cannot come quickly enough peter has not forgotten about the promise he made to gwens father to protect her by staying away but that is a promise he cannot keep things will change for peter when a new villain electro emerges an old friend harry osborn returns and peter uncovers new clues about his past,6.5,82,66
sam flynn the techsavvy and daring son of kevin flynn investigates his fathers disappearance and is pulled into the grid with the help of a mysterious program named quorra sam quests to stop evil dictator clu from crossing into the real world,6.3,42,34
star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own international espionage,5.8,41,34
for centuries a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order each green lantern wears a ring that grants him superpowers but when a new enemy called parallax threatens to destroy the balance of power in the universe their fate and the fate of earth lie in the hands of the first human ever recruited,5.1,64,47
woody buzz and the rest of andys toys havent been played with in years with andy about to go to college the gang find themselves accidentally left at a nefarious day care center the toys must band together to escape and return home to andy,7.6,45,36
all grown up in postapocalyptic  john connor must lead the resistance of humans against the increasingly dominating militaristic robots but when marcus wright appears his existence confuses the mission as connor tries to determine whether wright has come from the future or the past  and whether hes friend or foe,5.9,50,42
deckard shaw seeks revenge against dominic toretto and his family for his comatose brother,7.3,14,13
life for former united nations investigator gerry lane and his family seems content suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies after barely escaping the chaos lane is persuaded to go on a mission to investigate this disease what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls,6.7,72,59
the ultimate xmen ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past  to save our future,7.5,38,35
when the crew of the enterprise is called back home they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for leaving our world in a state of crisis  with a personal score to settle captain kirk leads a manhunt to a warzone world to capture a one man weapon of mass destruction as our heroes are propelled into an epic chess game of life and death love will be challenged friendships will be torn apart and sacrifices must be made for the only family kirk has left his crew,7.4,100,75
the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants unleashed on the earth for the first time in centuries the giants strive to reclaim the land they once lost forcing the young man jack into the battle of his life to stop them fighting for a kingdom its people and the love of a brave princess he comes face to face with the unstoppable warriors he thought only existed in legendand gets the chance to become a legend himself,5.5,96,69
an adaptation of f scott fitzgeralds long islandset novel where midwesterner nick carraway is lured into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the cracks of gatsbys nouveau riche existence where obsession madness and tragedy await,7.3,44,39
a rogue prince reluctantly joins forces with a mysterious princess and together they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time  gift from the gods that can reverse time and allow its possessor to rule the world,6.2,45,37
when legions of monstrous creatures known as kaiju started rising from the sea a war began that would take millions of lives and consume humanitys resources for years on end to combat the giant kaiju a special type of weapon was devised massive robots called jaegers which are controlled simultaneously by two pilots whose minds are locked in a neural bridge but even the jaegers are proving nearly defenseless in the face of the relentless kaiju on the verge of defeat the forces defending mankind have no choice but to turn to two unlikely heroesa washedup former pilot charlie hunnam and an untested trainee rinko kikuchiwho are teamed to drive a legendary but seemingly obsolete jaeger from the past together they stand as mankinds last hope against the mounting apocalypse,6.7,130,98
sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobotleader optimus prime the film centers around the space race between the ussr and the usa suggesting there was a hidden transformers role in it all that remains one of the planets most dangerous secrets,6.1,51,45
set during the cold war the soviets  led by swordwielding irina spalko  are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold after being captured and then escaping from them indy is coerced to head to peru at the behest of a young man whose friend  and indys colleague  professor oxley has been captured for his knowledge of the skulls whereabouts,5.7,70,57
an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend,6.6,18,16
brave is set in the mystical scottish highlands where mrida is the princess of a kingdom ruled by king fergus and queen elinor an unruly daughter and an accomplished archer mrida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom in an attempt to set things right mrida seeks out an eccentric old wise woman and is granted an illfated wish also figuring into mridas quest  and serving as comic relief  are the kingdoms three lords the enormous lord macguffin the surly lord macintosh and the disagreeable lord dingwall,6.7,96,68
the uss enterprise crew explores the furthest reaches of uncharted space where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test,6.6,30,27
walle is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space for  years he has continued to try and clean up the mess but has developed some rather interesting humanlike qualities when a ship arrives with a sleek new type of robot walle thinks hes finally found a friend and stows away on the ship when it leaves,7.8,70,55
after an attempted assassination on ambassador han inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads secret leaders lee also holds secret meetings with a united nations authority but his personal struggles with a chinese criminal mastermind named kenji which reveals that its lees longlostbrother,6.1,60,53
dr adrian helmsley part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms learns that the earths core is heating up he warns us president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the worlds population the entire race is doomed meanwhile writer jackson curtis stumbles on the same information while the worlds leaders race to build arks to escape the impending cataclysm curtis struggles to find a way to save his family meanwhile volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world,5.6,107,76
miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence what opportunities he wasted in his youth his current cruelties and the dire fate that awaits him if he does not change his ways scrooge is faced with his own story of growing bitterness and meanness and must decide what his own future will hold death or redemption,6.6,66,52
in a universe where human genetic material is the most precious commodity an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty,5.2,30,28
tarzan having acclimated to life in london is called back to his former home in the jungle to investigate the activities at a mining encampment,5.5,25,21
siblings lucy edmund susan and peter step through a magical wardrobe and find the land of narnia there the they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil white witch jadis aided by the wise and magnificent lion aslan the children lead narnia into a spectacular climactic battle to be free of the witchs glacial powers forever,6.7,65,52
after the reemergence of the worlds first mutant worlddestroyer apocalypse the xmen must unite to defeat his extinction level plan,6.4,20,18
batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker,8.2,67,53
carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest but at age  life seems to have passed him by until a twist of fate and a persistent year old wilderness explorer named russell gives him a new lease on life,7.7,48,39
when susan murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day she mysteriously grows to feetinches the military jumps into action and captures susan secreting her away to a covert government compound she is renamed ginormica and placed in confinement with a ragtag group of monsters,6.0,53,44
after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil,7.4,22,22
hugo is an orphan boy living in the walls of a train station in s paris he learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running the only thing that he has left that connects him to his dead father is an automaton mechanical man that doesnt work without a special key which hugo needs to find to unlock the secret he believes it contains on his adventures he meets with a shopkeeper george melies who works in the train station and his adventureseeking goddaughter hugo finds that they have a surprising connection to his father and the automaton and he discovers it unlocks some memories the old man has buried inside regarding his past,7.0,129,80
legless southern inventor dr arliss loveless plans to rekindle the civil war by assassinating president us grant only two men can stop him gunfighter james west and masterofdisguise and inventor artemus gordon the two must team up to thwart loveless plans,5.1,41,34
archaeologist rick oconnell travels to china pitting him against an emperor from the yearold han dynasty whos returned from the dead to pursue a quest for world domination this time oconnell enlists the help of his wife and son to quash the socalled dragon emperor and his abuse of supernatural power,5.2,51,40
from dc comics comes the suicide squad an antihero team of incarcerated supervillains who act as deniable assets for the united states government undertaking highrisk black ops missions in exchange for commuted prison sentences,5.9,34,32
god contacts congressman evan baxter and tells him to build an ark in preparation for a great flood,5.3,18,18
major bill cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat cage is killed within minutes managing to take an alpha alien down with him he awakens back at the beginning of the same day and is forced to fight and die again and again  as physical contact with the alien has thrown him into a time loop,7.6,70,48
in a futuristic world where the polar ice caps have melted and made earth a liquid planet a beautiful barmaid rescues a mutant seafarer from a floating island prison they escape along with her young charge enola and sail off aboard his ship but the trio soon becomes the target of a menacing pirate who covets the map to dryland  which is tattooed on enolas back,5.9,66,57
from the egyptian desert to deep below the polar ice caps the elite gi joe team uses the latest in nextgeneration spy and military equipment to fight the corrupt arms dealer destro and the growing threat of the mysterious cobra organization to prevent them from plunging the world into chaos,5.6,50,39
growing up can be a bumpy road and its no exception for riley who is uprooted from her midwest life when her father starts a new job in san francisco like all of us riley is guided by her emotions  joy fear anger disgust and sadness the emotions live in headquarters the control center inside rileys mind where they help advise her through everyday life as riley and her emotions struggle to adjust to a new life in san francisco turmoil ensues in headquarters although joy rileys main and most important emotion tries to keep things positive the emotions conflict on how best to navigate a new city house and school,8.0,111,77
after a threat from the tiger shere khan forces him to flee the jungle a mancub named mowgli embarks on a journey of self discovery with the help of panther bagheera and free spirited bear baloo,6.7,36,31
with the world now aware of his dual life as the armored superhero iron man billionaire inventor tony stark faces pressure from the government the press and the public to share his technology with the military unwilling to let go of his invention stark with pepper potts and james rhodey rhodes at his side must forge new alliances  and confront powerful enemies,6.6,62,47
after the evil queen marries the king she performs a violent coup in which the king is murdered and his daughter snow white is taken captive almost a decade later a grown snow white is still in the clutches of the queen in order to obtain immortality the evil queen needs the heart of snow white after snow escapes the castle the queen sends the huntsman to find her in the dark forest,5.8,73,43
the untold story of disneys most iconic villain from the  classic sleeping beauty a beautiful purehearted young woman maleficent has an idyllic life growing up in a peaceable forest kingdom until one day when an invading army threatens the harmony of the land  maleficent rises to be the lands fiercest protector but she ultimately suffers a ruthless betrayal  an act that begins to turn her heart into stone bent on revenge maleficent faces an epic battle with the invading kings successor and as a result places a curse upon his newborn infant aurora as the child grows maleficent realizes that aurora holds the key to peace in the kingdom  and to maleficents true happiness as well,7.0,116,86
a group of scientists in san francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity while caesar tries to maintain dominance over his community of intelligent apes,7.3,34,29
the lovers is an epic romance time travel adventure film helmed by roland joff from a story by ajey jhankar the film is a sweeping tale of an impossible love set against the backdrop of the first anglomaratha war across two time periods and continents and centred around four characters  a british officer in th century colonial india the indian woman he falls deeply in love with an american presentday marine biologist and his wife,4.8,75,58
based on the original  movie from japan and from ancient japans most enduring tale the epic d fantasyadventure  ronin is born  keanu reeves leads the cast as kai an outcast who joins oishi hiroyuki sanada the leader of the  outcast samurai  together they seek vengeance upon the treacherous overlord who killed their master and banished their kind  to restore honor to their homeland the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors,5.9,82,64
after the cataclysmic events in new york with the avengers steve rogers aka captain america is living quietly in washington dc and trying to adjust to the modern world but when a shield colleague comes under attack steve becomes embroiled in a web of intrigue that threatens to put the world at risk joining forces with the black widow captain america struggles to expose the everwidening conspiracy while fighting off professional assassins sent to silence him at every turn when the full scope of the villainous plot is revealed captain america and the black widow enlist the help of a new ally the falcon however they soon find themselves up against an unexpected and formidable enemythe winter soldier,7.6,118,83
a bored and domesticated shrek pacts with dealmaker rumpelstiltskin to get back to feeling like a real ogre again but when hes duped and sent to a twisted version of far far awaywhere rumpelstiltskin is king ogres are hunted and he and fiona have never methe sets out to restore his world and reclaim his true love,6.0,57,45
bound by a shared destiny a bright optimistic teen bursting with scientific curiosity and a former boygenius inventor jaded by disillusionment embark on a dangerfilled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as tomorrowland,6.2,47,41
the special bond that develops between plussized inflatable robot baymax and prodigy hiro hamada who team up with a group of friends to form a band of hightech heroes,7.8,29,27
wreckit ralph is the foottall pound villain of an arcade video game named fixit felix jr in which the games titular hero fixes buildings that ralph destroys wanting to prove he can be a good guy and not just a villain ralph escapes his game and lands in heros duty a firstperson shooter where he helps the games hero battle against alien invaders he later enters sugar rush a kart racing game set on tracks made of candies cookies and other sweets there ralph meets vanellope von schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade and one that ralph may have inadvertently started,7.1,114,85
when a doubting young boy takes an extraordinary train ride to the north pole he embarks on a journey of selfdiscovery that shows him that the wonder of life never fades for those who believe,6.4,35,31
we always knew they were coming back using recovered alien technology the nations of earth have collaborated on an immense defense program to protect the planet but nothing can prepare us for the aliens advanced and unprecedented force only the ingenuity of a few brave men and women can bring our world back from the brink of extinction,4.9,58,49
as the son of a viking leader on the cusp of manhood shy hiccup horrendous haddock iii faces a rite of passage he must kill a dragon to prove his warrior mettle but after downing a feared dragon he realizes that he no longer wants to destroy it and instead befriends the beast  which he names toothless  much to the chagrin of his warrior father,7.5,65,48
its been  years since john connor saved earth from judgment day and hes now living under the radar steering clear of using anything skynet can trace that is until he encounters tx a robotic assassin ordered to finish what t started good thing connors former nemesis the terminator is back to aid the nowadult connor  just like he promised,5.9,59,53
light years from earth  years after being abducted peter quill finds himself the prime target of a manhunt after discovering an orb wanted by ronan the accuser,7.9,27,24
interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage,8.1,35,29
cobb a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible inception the implantation of another persons idea into a targets subconscious,8.1,44,35
from the mind behind evangelion comes a hit larger than life  when a massive gilled monster emerges from the deep and tears through the city the government scrambles to save its citizens  a ragtag team of volunteers cuts through a web of red tape to uncover the monsters weakness and its mysterious ties to a foreign superpower  but time is not on their side  the greatest catastrophe to ever befall the world is about to evolve right before their very eyes,6.5,81,60
bilbo baggins a hobbit enjoying his quiet life is swept into an epic quest by gandalf the grey and thirteen dwarves who seek to reclaim their mountain home from smaug the dragon,7.0,32,31
domenic toretto is a los angeles street racer suspected of masterminding a series of bigrig hijackings when undercover cop brian oconner infiltrates torettos iconoclastic crew he falls for torettos sister and must choose a side the gang or the lapd,6.6,40,35
tells the story of benjamin button a man who starts aging backwards with bizarre consequences,7.3,15,15
before charles xavier and erik lensherr took the names professor x and magneto they were two young men discovering their powers for the first time before they were archenemies they were closest of friends working together with other mutants some familiar some new to stop the greatest threat the world has ever known,7.1,53,43
with the nation of panem in a full scale war katniss confronts president snow in the final showdown teamed with a group of her closest friends  including gale finnick and peeta  katniss goes off on a mission with the unit from district  as they risk their lives to stage an assassination attempt on president snow who has become increasingly obsessed with destroying her the mortal traps enemies and moral choices that await katniss will challenge her more than any arena she faced in the hunger games,6.6,86,66
balthazar blake is a master sorcerer in modernday manhattan trying to defend the city from his archnemesis maxim horvath balthazar cant do it alone so he recruits dave stutler a seemingly average guy who demonstrates hidden potential as his reluctant protg the sorcerer gives his unwilling accomplice a crash course in the art and science of magic and together these unlikely partners work to stop the forces of darkness,5.8,69,56
a packed cruise ship traveling the atlantic is hit and overturned by a massive wave compelling the passengers to begin a dramatic fight for their lives,5.5,26,23
in the sequel to tim burtons alice in wonderland alice kingsleigh returns to underland and faces a new adventure in saving the mad hatter,6.5,24,19
the king of far far away has died and shrek and fiona are to become king amp queen however shrek wants to return to his cozy swamp and live in peace and quiet so when he finds out there is another heir to the throne they set off to bring him back to rule the kingdom,6.0,56,43
the peaceful realm of azeroth stands on the brink of war as its civilization faces a fearsome race of invaders orc warriors fleeing their dying home to colonize another as a portal opens to connect the two worlds one army faces destruction and the other faces extinction from opposing sides two heroes are set on a collision course that will decide the fate of their family their people and their home,6.3,71,51
the year is  john connor leader of the resistance continues the war against the machines at the los angeles offensive johns fears of the unknown future begin to emerge when tecom spies reveal a new plot by skynet that will attack him from both fronts past and future and will ultimately change warfare forever,5.8,54,45
this time around edmund and lucy pevensie along with their pesky cousin eustace scrubb find themselves swallowed into a painting and on to a fantastic narnian ship headed for the very edges of the world,6.2,35,32
the lifelong friendship between rafe mccawley and danny walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful naval nurse evelyn johnson but the rivalry between the friendsturnedfoes is immediately put on hold when they find themselves at the center of japans devastating attack on pearl harbor on dec  ,6.6,60,49
young teenager sam witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots  the heroic autobots and the evil decepticons sam holds the clue to unimaginable power and the decepticons will stop at nothing to retrieve it,6.6,41,33
alexander the king of macedonia leads his legions against the giant persian empire after defeating the persians he leads his army across the then known world venturing farther than any westerner had ever gone all the way to india,5.6,39,33
returning for his fifth year of study at hogwarts harry is stunned to find that his warnings about the return of lord voldemort have been ignored left with no choice harry takes matters into his own hands training a small group of students  dubbed dumbledores army  to defend themselves against the dark arts,7.4,53,46
harry starts his fourth year at hogwarts competes in the treacherous triwizard tournament and faces the evil lord voldemort ron and hermione help harry manage the pressure  but voldemort lurks awaiting his chance to destroy harry and all that he stands for,7.5,42,34
hancock is a downandout superhero whos forced to employ a pr expert to help repair his image when the public grows weary of all the damage hes inflicted during his lifesaving heroics the agents idea of imprisoning the antihero to make the world miss him proves successful but will hancock stick to his new sense of purpose or slip back into old habits,6.2,63,50
robert neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and manmade immune neville is now the last human survivor in what is left of new york city and perhaps the world for three years neville has faithfully sent out daily radio messages desperate to find any other survivors who might be out there but he is not alone,6.9,68,54
a young boy wins a tour through the most magnificent chocolate factory in the world led by the worlds most unusual candy maker,6.7,23,19
a rat named remy dreams of becoming a great french chef despite his familys wishes and the obvious problem of being a rat in a decidedly rodentphobic profession when fate places remy in the sewers of paris he finds himself ideally situated beneath a restaurant made famous by his culinary hero auguste gusteau despite the apparent dangers of being an unlikely  and certainly unwanted  visitor in the kitchen of a fine french restaurant remys passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of paris upside down,7.5,96,67
driven by tragedy billionaire bruce wayne dedicates his life to uncovering and defeating the corruption that plagues his home gotham city  unable to work within the system he instead creates a new identity a symbol of fear for the criminal underworld  the batman,7.5,43,37
alex marty melman gloria king julien maurice the penguins and the chimps are back and still marooned on madagascar in the face of this obstacle the new yorkers have hatched a plan so crazy it just might work with military precision the penguins have repaired an old crashed plane sort of,6.2,51,43
hapless museum night watchman larry daley must help his living breathing exhibit friends out of a pickle now that theyve been transferred to the archives at the smithsonian institution larrys misadventures this time include close encounters with amelia earhart abe lincoln and ivan the terrible,5.9,45,43
after seeking to live a normal life logan sets out to avenge the death of his girlfriend by undergoing the mutant weapon x program and becoming wolverine,6.2,27,25
the human city of zion defends itself against the massive invasion of the machines as neo fights to end the war at another front while also opposing the rogue agent smith,6.4,31,26
young princess anna of arendelle dreams about finding true love at her sister elsas coronation fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom shes accompanied by ice delivery man kristoff his reindeer sven and snowman olaf on an adventure where she will find out what friendship courage family and true love really means,7.3,66,59
six months after the events depicted in the matrix neo has proved to be a good omen for the free humans as more and more humans are being freed from the matrix and brought to zion the one and only stronghold of the resistance  neo himself has discovered his superpowers including super speed ability to see the codes of the things inside the matrix and a certain degree of precognition but a nasty piece of news hits the human resistance  machine sentinels are digging to zion and would reach them in  hours as zion prepares for the ultimate war neo morpheus and trinity are advised by the oracle to find the keymaker who would help them reach the source  meanwhile neos recurrent dreams depicting trinitys death have got him worried and as if it was not enough agent smith has somehow escaped deletion has become more powerful than before and has fixed neo as his next target,6.7,157,102
